sample_key,condition,bearing_id,sample_id,PCA_HI,HI_smooth,stage,bearing_latent_1,bearing_latent_2,bearing_latent_3,bearing_latent_4,bearing_latent_5,bearing_latent_6,bearing_latent_7,bearing_latent_8
35Hz12kN/Bearing1_1/00001,35Hz12kN,Bearing1_1,1,0.20224433674938339,0.16643740014311784,Slow Degradation,-1.6750200701276468,0.10095053344716841,2.2886273513367494,1.7637708576953817,0.08254832161227493,0.7734612415998084,1.4551155659387454,2.058051490298706
35Hz12kN/Bearing1_1/00002,35Hz12kN,Bearing1_1,2,0.170128443631475,0.16258336081919011,Slow Degradation,-1.882985254657748,1.0768894434231024,0.6043776013752342,1.0583612540348684,1.877757960082583,1.5541153422698648,1.4463711692987895,2.700965559830283
35Hz12kN/Bearing1_1/00003,35Hz12kN,Bearing1_1,3,0.16727766089418578,0.15564329052326145,Slow Degradation,-2.3847469568105866,0.45216722757474054,1.0369375651110855,1.4455399948089471,1.3563371049338233,1.6166780387772182,1.2841851683068823,2.2734529296841606
35Hz12kN/Bearing1_1/00004,35Hz12kN,Bearing1_1,4,0.1543369832733406,0.15135182324813481,Slow Degradation,-3.193460597076381,-0.09751970435740077,1.087184571726786,1.7800846831458268,0.8328393877347561,1.0945749528631687,1.561661954455255,2.387527417196398
35Hz12kN/Bearing1_1/00005,35Hz12kN,Bearing1_1,5,0.13819957616720432,0.14567427304493663,Slow Degradation,-2.5339577543473957,1.6891061135927103,-0.9702771149586258,0.3511769337865549,3.2738974869123862,2.449367405513853,1.0517783953950393,3.2359562448359083
35Hz12kN/Bearing1_1/00006,35Hz12kN,Bearing1_1,6,0.14331316419955153,0.12931604328209179,Slow Degradation,-2.5789146976397035,1.8001106289575324,-1.1528625449914642,-0.05216254313158952,3.561746567791078,2.74495900243438,0.44601398297841544,1.9700318583101535
35Hz12kN/Bearing1_1/00007,35Hz12kN,Bearing1_1,7,0.11400286874768961,0.12114317485094321,Slow Degradation,-3.1353230305671533,2.1863227694634837,-2.121522915939128,-0.48650777575490656,4.424905648082969,2.912161391815445,0.3888111427771751,1.797289499188432
35Hz12kN/Bearing1_1/00008,35Hz12kN,Bearing1_1,8,0.12131155232224825,0.1102851417117235,Slow Degradation,-3.2573234713068255,1.349547921751356,-1.4204776210823085,-0.376536948016082,3.3408469331538186,2.486843418469734,1.2134526489213397,2.775818642563974
35Hz12kN/Bearing1_1/00009,35Hz12kN,Bearing1_1,9,0.10025387141935108,0.10235719542479431,Slow Degradation,-3.8994292012368614,1.679778259090152,-2.1116861849626853,-0.4033414264600208,2.885817290306642,1.7847395410522335,0.5859215321169622,2.429297703517828
35Hz12kN/Bearing1_1/00010,35Hz12kN,Bearing1_1,10,0.05502026888377978,0.09277865960643562,Slow Degradation,-2.324802856355709,6.1347009303572495,-6.938182591982683,-3.5891842058672077,8.081822804562126,3.369943390177199,0.3571437997414186,3.9157277349991406
