feature,monotonicity,trendability,stability,transferability,degradation_direction,overall_score
resultant_mean,0.19750125796470616,0.6863852970438693,0.9772490584739462,0.7765442378514535,increasing,0.5869724767733152
resultant_mean_abs,0.19750125796470616,0.6863852970438693,0.9772490584739462,0.7765442378514535,increasing,0.5869724767733152
resultant_rms,0.19981446912237835,0.6809024665470641,0.97693520477528,0.77202922854299,increasing,0.5853972293934562
vertical_mean_abs,0.1701338520268996,0.6769220767808409,0.9743705618482641,0.7834667423848674,increasing,0.5750175949710501
horizontal_band_energy_4,0.054837341053292,0.7769736422362018,0.9498447075884736,0.8709698672363023,decreasing,0.5728995836426528
vertical_rms,0.16755956287243867,0.6707526186958159,0.9745625395708847,0.7793778686719431,increasing,0.5716908208290666
vertical_std,0.1629595792716455,0.6708416909683733,0.9745625166123841,0.7794708078348528,increasing,0.5701214845332927
horizontal_mean_abs,0.1458974278289061,0.6826031996564496,0.9760260606249909,0.7822709343976688,increasing,0.5683909119217005
resultant_std,0.16046084837958968,0.6702554555203685,0.9754442848027834,0.765354797131146,increasing,0.5671300101191955
vertical_stft_band_energy_2,0.09375593316867639,0.7415510794156756,0.9468236071646725,0.8058538779517422,decreasing,0.5655227035594352
horizontal_std,0.14060935100329747,0.6762330689973244,0.9757030159219433,0.7727640709004743,increasing,0.5631384073698112
horizontal_rms,0.13943984971068657,0.6761941061725061,0.9754767522973807,0.7727220937590585,increasing,0.5626658437738271
vertical_band_energy_3,0.08964294566674395,0.726823668772519,0.9422508682802934,0.811220048140635,decreasing,0.55955531249227
resultant_band_energy_4,0.06855896001505772,0.7098963319164914,0.9622935996417087,0.8373749328737261,decreasing,0.5550294954396182
vertical_wavelet_packet_energy_3,0.07082118536992923,0.7110941825196957,0.9459078205632686,0.7906724749051613,decreasing,0.5458981049838119
horizontal_wavelet_packet_energy_4,0.048344250657323555,0.7082336022517455,0.9541829648571124,0.8049803012990415,decreasing,0.5409742065718656
vertical_stft_total_energy,0.17641864407543856,0.567342162619543,0.9506411266614335,0.785544180169655,increasing,0.5399090265700013
horizontal_stft_band_energy_2,0.043915384119032695,0.7263078600909182,0.9525953703281883,0.7693491827949218,decreasing,0.5391841939538129
resultant_stft_band_energy_2,0.03555115647369793,0.7096738522084146,0.9670229952798943,0.7904749240816857,decreasing,0.5373208980965504
resultant_stft_total_energy,0.16902890487238265,0.574647015976747,0.9521829662528044,0.768030470323344,increasing,0.5371953852974205
vertical_spectral_energy,0.1629595792716455,0.5671869134203743,0.9505754673056799,0.7855578581513105,increasing,0.5351406989550207
resultant_spectral_energy,0.16032022593696293,0.5747758652037435,0.95239323210902,0.7685869226586695,increasing,0.5343115234596645
