condition,bearing_id,n_samples,healthy_to_slow_index,slow_to_accelerated_index,best_model,exp_RMSE,exp_R2,wiener_RMSE,wiener_R2,rf_RMSE,rf_R2
35Hz12kN,Bearing1_1,123,0,82,random_forest,0.10781013397127948,0.8095942267849742,0.25243697029076945,-0.04391913742596465,0.01138614538558514,0.9978761962143343
35Hz12kN,Bearing1_2,161,54,59,random_forest,0.15901510176576092,0.508301326953939,0.17259089281310463,0.42076066807880896,0.01980454391281423,0.9923730309531742
35Hz12kN,Bearing1_3,158,0,105,random_forest,0.06767051235925188,0.9466246173944302,0.1869106921855285,0.5927975677896826,0.009358769189760347,0.9989791086007181
35Hz12kN,Bearing1_4,122,13,81,random_forest,0.03945059808576546,0.8460294520799185,0.059393518368295616,0.6510135398338313,0.007654936852147844,0.9942028612261175
35Hz12kN,Bearing1_5,52,9,34,random_forest,0.08283513699698485,0.9099087008754275,0.2037697715199085,0.454828458891644,0.015067316658543549,0.9970192504225122
37.5Hz11kN,Bearing2_1,491,44,71,random_forest,0.060189596581574634,0.6237964320557835,0.17730807575625834,-2.2646533870782135,0.011416035531547391,0.9864664831261354
37.5Hz11kN,Bearing2_2,161,54,83,random_forest,0.1583950838298423,0.8159353317065474,0.19454042899517135,0.722344184120793,0.011916614794181083,0.9989581796453617
37.5Hz11kN,Bearing2_3,533,0,327,random_forest,0.20730209499968477,0.4320710096893907,0.2578496617774401,0.12134216085899951,0.023680919107052213,0.9925888813811284
37.5Hz11kN,Bearing2_4,42,14,28,random_forest,0.03199384376287215,0.985337420456424,0.18155413811500237,0.527839289077533,0.019659672041523777,0.9944635666083822
37.5Hz11kN,Bearing2_5,339,6,185,random_forest,0.12288592349672836,0.7875150785779188,0.2027508182663994,0.42157231301416376,0.016249618092710312,0.9962845608048186
40Hz10kN,Bearing3_1,2538,634,1228,random_forest,0.026051636589756302,0.8647126439668079,0.38679605822764035,-28.822995701117016,0.005908828331658244,0.9930403094163432
40Hz10kN,Bearing3_2,2496,72,1235,random_forest,0.06830673921646806,0.8886702920593083,0.10496205016146948,0.7371254319314151,0.03347445781178547,0.9732630991755115
40Hz10kN,Bearing3_3,371,2,0,random_forest,0.09036415110308965,0.6890323390065295,0.2221418174509763,-0.8792455142123035,0.011339953574722957,0.9951028271401763
40Hz10kN,Bearing3_4,1515,17,319,random_forest,0.06526960027323488,0.7581485393149282,0.3711135115741702,-6.818804275391395,0.013926283815475494,0.9889897471586065
40Hz10kN,Bearing3_5,114,10,31,random_forest,0.11773835641302689,0.5260219899800553,0.2658419946667574,-1.4164033502584066,0.027608180881053622,0.9739385941931821
