day,cluster
0,0
20,0
40,0
60,2
80,0
100,0
120,2
140,0
160,0
180,2
200,0
220,0
240,0
260,0
280,0
300,2
320,0
340,2
360,0
380,0
400,2
420,0
440,2
460,0
480,0
500,2
520,0
540,2
560,0
580,2
600,0
620,2
640,0
660,0
680,2
700,0
720,2
740,0
760,0
780,2
800,2
820,2
840,2
860,0
880,0
900,2
920,0
940,2
960,2
980,0
1000,2
1020,0
1040,0
1060,2
1080,2
1100,2
1120,0
1140,2
1160,2
1180,2
1200,0
1220,2
1240,0
1260,0
1280,2
1300,2
1320,0
1340,2
1360,0
1380,0
1400,2
1420,2
1440,0
1460,2
1480,1
1500,2
1520,2
1540,2
1560,2
1580,0
1600,2
1620,2
1640,2
1660,1
1680,2
1700,2
1720,2
1740,2
1760,2
1780,2
1800,2
1820,2
1840,0
1860,2
1880,2
1900,2
1920,2
1940,2
1960,2
1980,2
2000,0
2020,2
2040,2
2060,2
2080,2
2100,2
2120,2
2140,1
2160,2
2180,2
2200,1
2220,2
2240,2
2260,2
2280,1
2300,2
2320,2
2340,1
2360,2
2380,2
2400,2
2420,1
2440,2
2460,1
2480,2
2500,2
2520,1
2540,2
2560,2
2580,1
2600,1
2620,2
2640,1
2660,2
2680,1
2700,2
2720,1
2740,2
2760,2
2780,1
2800,2
2820,2
2840,1
2860,2
2880,1
2900,1
2920,1
2940,1
2960,2
2980,1
3000,1
3020,1
3040,1
3060,1
3080,1
3100,1
3120,2
3140,1
3160,1
3180,2
3200,1
3220,2
3240,1
3260,1
3280,2
3300,1
3320,1
3340,1
3360,1
3380,1
3400,1
3420,1
3440,1
3460,1
3480,1
3500,1
