day,z_f_1,z_f_2,z_f_3,z_f_4,z_f_5,z_f_6,z_f_7,z_f_8
0,-0.06589286,0.06321678,-0.22251098,0.18742773,-0.2500657,0.15177998,-0.27397805,0.049509503
20,-0.02887969,0.056982994,-0.22326398,0.18458077,-0.26505998,0.20724031,-0.24403481,0.113185786
40,-0.013957392,0.017312463,-0.19885442,0.13871245,-0.23733096,0.089068234,-0.1125385,0.023726413
60,-0.0053109787,-0.002437844,-0.18841848,0.12561852,-0.21602473,0.040916257,-0.04593706,0.013996378
80,-0.048688702,0.03942108,-0.257618,0.20297952,-0.30000478,0.12247168,-0.15807633,0.115587
100,-0.012704492,-0.009544482,-0.20396858,0.14838105,-0.21892586,0.09913373,-0.11464842,0.07635206
120,-0.003878491,0.007047316,-0.18541306,0.113616794,-0.22220251,0.024930667,-0.030088693,-0.016148038
140,-0.014778856,0.0025027404,-0.20907053,0.14082661,-0.24442074,0.06912882,-0.060139216,0.066052794
160,-0.052956052,0.03906061,-0.25115684,0.15995651,-0.32701463,0.08389972,-0.108281195,0.09910234
180,-0.021258835,0.014737112,-0.18015839,0.10162685,-0.23275898,0.027808338,-0.048394762,0.008336429
200,-0.02166399,0.04024136,-0.22063434,0.14750499,-0.2673482,0.15592209,-0.15827177,0.100514784
220,-0.021762006,0.034146912,-0.20622408,0.13458216,-0.2499384,0.13758367,-0.15349655,0.091482505
240,-0.026262578,0.02847284,-0.18453851,0.11044668,-0.2405859,0.055851586,-0.07231918,0.017504945
260,-0.039073363,0.06573869,-0.25085124,0.18222827,-0.32532313,0.19004168,-0.18963884,0.14447111
280,-0.020317584,0.033109576,-0.19735949,0.11653255,-0.25442332,0.092078246,-0.10014431,0.0325863
300,-0.021006797,0.01835533,-0.1760039,0.0979224,-0.23675396,0.033015553,-0.054748304,0.0074159354
320,-0.025771298,0.017288629,-0.20013893,0.12350075,-0.25659513,0.084303066,-0.07759826,0.063087046
340,-0.014163837,0.0046192203,-0.17111334,0.09374916,-0.22268607,-0.005175736,0.0074140504,0.005199939
360,-0.036438756,0.030720761,-0.21120638,0.12470101,-0.28114218,0.08946451,-0.06779663,0.073589504
380,-0.024764717,0.03654381,-0.2053768,0.1304836,-0.25902033,0.13466318,-0.1306717,0.09087975
400,-0.028083447,0.037575986,-0.15185684,0.07639331,-0.23418613,-0.041502945,0.038734443,-0.039335728
420,-0.06397116,0.060491983,-0.23610714,0.16032255,-0.3408558,0.11308903,-0.10851678,0.10591324
440,-0.025078908,0.022574382,-0.17373511,0.08974437,-0.23353119,0.017502345,-0.004044339,0.014107246
460,-0.052877977,0.05366066,-0.23394136,0.15966433,-0.32799357,0.12077083,-0.11640179,0.10967112
480,-0.02337962,0.040991828,-0.17904028,0.100030266,-0.25471485,0.076123685,-0.094610095,0.022389859
500,-0.024602737,0.027999792,-0.17132233,0.08999164,-0.23979346,0.036462054,-0.042807303,0.009941518
520,-0.02794015,0.037218742,-0.206361,0.13155714,-0.280398,0.10238615,-0.07586788,0.06492507
540,-0.014756557,0.008350786,-0.15971705,0.084033854,-0.22153139,-0.0074660704,0.004615791,-0.002512198
560,-0.026108027,0.02817019,-0.20055631,0.12784709,-0.26559633,0.0982875,-0.07356368,0.06657235
580,-0.015218075,0.023375854,-0.17470838,0.09442875,-0.23754956,0.049272824,-0.040449873,0.015081298
600,-0.023131374,0.023366006,-0.19060743,0.11790684,-0.25212914,0.08828863,-0.07449217,0.0627998
620,-0.012451258,0.025280556,-0.14949998,0.06996843,-0.22838505,-0.041612044,0.061050035,-0.038709894
640,-0.052985564,0.066867284,-0.22840014,0.17799225,-0.3390064,0.1093515,-0.10856362,0.088398434
660,-0.032320604,0.033764906,-0.19641551,0.12246347,-0.27157682,0.09777363,-0.06520821,0.06645121
